fuente,external_id,nombre,descripcion,categoria,tipo_plantilla,municipio,territorio,direccion,lat,lng,telefono,email,website,es_lluvia,es_carrito,es_cambiador,es_silla_ruedas,es_mascotas,edad_minima,fecha_inicio,fecha_fin,lugar,precio,imagen_url,tipo_evento
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-zumalakarregi-exposicion-permanente-y-visitas-/webkklik00-detalle/es/,Museo Zumalakarregi (exposición permanente y visitas),,evento_cultural,Evento cultural,Ormaiztegi,gipuzkoa,"Paseo Muxika, 6",43.042735,-2.255848,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-zumalakarregi-exposicion-permanente-y-visitas-/webkklik00-detalle/es/,True,False,False,True,False,4,01/01/2014,31/12/2034,Museo Zumalakarregi,"1,5 / 3 ?",/contenidos/evento/2024022714144209/es_def/images/Zumarenobjektuak.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-fournier-de-naipes-de-alava-exposicion-permanente-/webkklik00-detalle/es/,Museo Fournier de Naipes de Álava (exposición permanente),,evento_cultural,Evento cultural,Vitoria-Gasteiz,araba,"Cuchillería, 54",42.84946087316155,-2.671143652836017,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-fournier-de-naipes-de-alava-exposicion-permanente-/webkklik00-detalle/es/,True,True,False,True,False,2,01/01/2014,31/12/2034,BIBAT. Museo Fournier de Naipes de Álava,Gratis,/contenidos/evento/2024022714332688/es_def/images/030401021copia1.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/soinuenea-herri-musikaren-txokoa-exposicion-permanente-/webkklik00-detalle/es/,"Soinuenea, Herri Musikaren txokoa (exposición permanente)",,evento_cultural,Evento cultural,Oiartzun,gipuzkoa,"Tornola Kalea, 6",43.2862368648319,-1.83840394107392,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/soinuenea-herri-musikaren-txokoa-exposicion-permanente-/webkklik00-detalle/es/,True,True,True,True,False,4,01/01/2014,31/12/2034,Soinuenea Centro de la Música Popular,4 ?,/contenidos/evento/2024022715055696/es_def/images/soinueneaBANNER.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/rialia-museo-de-la-industria-exposicion-permanente-/webkklik00-detalle/es/,Rialia - Museo de la Industria (exposición permanente y visitas guiadas),,evento_cultural,Evento cultural,Portugalete,bizkaia,"Paseo de la Canilla, s/n",43.3198076573669,-3.01557540893554,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/rialia-museo-de-la-industria-exposicion-permanente-/webkklik00-detalle/es/,True,False,False,True,False,2,01/01/2014,31/12/2034,Rialia Museo de la Industria,2 ?,/contenidos/evento/2024022811151305/es_def/images/RialiaIraunkorra.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-maquina-herramienta-exposicion-y-visitas-/webkklik00-detalle/es/,Museo Máquina-Herramienta (exposición y visitas),,evento_cultural,Evento cultural,Elgoibar,gipuzkoa,"Azkue Bailara, 1",43.2171397355639,-2.41124153137207,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-maquina-herramienta-exposicion-y-visitas-/webkklik00-detalle/es/,True,False,True,True,False,2,01/01/2014,31/12/2034,Museo de la Máquina-herramienta,5 ?,/contenidos/evento/2024022811434283/es_def/images/EMMF061024x683.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-san-telmo-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,Museo San Telmo (exposición permanente y visitas guiadas),,evento_cultural,Evento cultural,Donostia / San Sebastián,gipuzkoa,"Plaza Zuloaga, 1",43.324954,-1.984927,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-san-telmo-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,True,True,False,True,False,6,01/01/2014,31/12/2034,Museo San Telmo,3 / 6 ?,/contenidos/evento/2024022811564435/es_def/images/5591854838718d30740eo.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-las-reproducciones-de-bilbao-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,Museo de las Reproducciones de Bilbao (exposición permanente y visitas guiadas),,evento_cultural,Evento cultural,Bilbao,bizkaia,"San Francisco, 14",43.255916,-2.928294,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-las-reproducciones-de-bilbao-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,True,True,False,True,False,2,01/01/2014,31/12/2034,Museo de Reproducciones de Bilbao,"1,5 / 3 ?",/contenidos/evento/2024022813160615/es_def/images/slidermuseogeneral.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/muso-de-la-paz-de-gernika-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,Muso de la Paz de Gernika (exposición permanente y visitas guiadas),,evento_cultural,Evento cultural,Gernika-Lumo,bizkaia,"Plaza de los Fueros, 1",43.315081,-2.678411,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/muso-de-la-paz-de-gernika-exposicion-permanente-y-visitas-guiadas-/webkklik00-detalle/es/,True,False,False,True,False,2,01/01/2014,31/12/2034,Museo de la Paz de Gernika,4 ?,/contenidos/evento/2024022813514392/es_def/images/museopazgernika.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-bellas-artes-de-alava-coleccion-permanente-/webkklik00-detalle/es/,Museo de Bellas Artes de Álava (colección permanente),,evento_cultural,Evento cultural,Vitoria-Gasteiz,araba,"Paseo de Fray Francisco de Vitoria, 8",42.841611,-2.67938,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-bellas-artes-de-alava-coleccion-permanente-/webkklik00-detalle/es/,True,True,False,False,False,6,01/01/2014,31/12/2034,Museo de Bellas Artes de Álava,,/contenidos/evento/2024022909234479/es_def/images/P.BajaA.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-arqueologia-de-alava-exposicion-permanente-/webkklik00-detalle/es/,Museo de Arqueología de Álava (exposición permanente),,evento_cultural,Evento cultural,Vitoria-Gasteiz,araba,"Cuchillería, 54",42.84947660470292,-2.6711061019098024,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-arqueologia-de-alava-exposicion-permanente-/webkklik00-detalle/es/,True,True,True,True,False,4,01/01/2014,31/12/2034,BIBAT. Museo de Arqueología de Álava,,/contenidos/evento/2024022910194718/es_def/images/Patio.jpg,Exposición
